Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
0,MacInTX,5,The card works with a Galaxy Note 2.  Install was simple.There are some minor drawbacks I was unaware of when using card storage on my phone.I do notice an initial lag when first accessing the card.Transferring existing items onto card storage is not that simple.Not all items can be moved to card storage.,03/25/2023,473,28,15,43,13,2.7119001765836694,2.537360032423877
1,Michael A. Davis,1,When you are looking for a high end SD card with great write speeds look no further than Scan Disk Ultra,12/11/2023,819,43,47,90,-4,2.352910703010098,2.3589469056039785
2,"Black Eyes ""Frosed""",3,What a bargain!  64GB of memory for all of your music and movies.  I bought this and the Galaxy S4 and couldn't be happier.  This much memory in an iPhone would cost an arm and leg.Comes with a SD size attachment so you can easily transfer files straight from your computer.,05/13/2023,822,35,33,68,2,3.4948532302889395,3.040944042141957
3,David McCutcheon,3,"I made sure to get the one in the retail packaging when ordering. It arrived next day from Amazon. I tore open the packaging and inserted the card directly into my Note 10.1. The card was picked up right away, no formatting needed. I will say, I had updated my unit to 4.1.2 first so I am unsure if the update is what made the recognition so easy. Already crammed it half full with movies and music. Plays all of them smooth with no lag or speed issues whatsoever. I think I will get another.",11/01/2023,907,43,21,64,22,0.5159748067232689,2.592849905811791
4,Joshua J. Wagner,1,To be the man you gotta beat the man brotha. And Sandisk is beating the man wit a stick. The price the warranty they are they are letting you steal these from them. So get your hands on some before they realize they giving out the hook up and bam they $100 again.....LOLGo SanDisk go Amazon. I bought 3 and gone buy 3 more.,04/26/2023,108,38,48,86,-10,1.3269325286625628,2.231434780692261
5,Jonathan Gaskell,1,"Bought it for my S4; it Works like a charm.  No setup needed, my S4 reads it automatically.  Great price. :)",06/11/2023,331,2,22,24,-20,4.083813427056942,0.9026191411389767
6,Robert Poole,5,I got the 16GB card for my Garmin GPS. The GPS's memory could be expanded so that more maps and info could be saved. The memory card works as described. I've used Sandisk for many electronics and I have never had a problem. They are sometimes a little more expensive than other brands but I think the little extra is worth it.,12/29/2023,540,36,4,40,32,2.520394191687045,1.9870024356656735
7,odaddio,5,I bought this for my Samsung galaxy s4. I don't know if it is my phone or the card but my phone says it was unexpectedly removed from time to time. My wife's phone doesn't do it as often but still does it. Very fast but unreliable. I have had many sandisk before and this is the only one I have had problems with. I have read that there were some that were poorly made. Thinking I will send it back and give it another chance.,03/03/2023,439,43,36,79,7,4.54021718241047,1.4102285041717195
8,Grantisimo,2,"Great MicroSDHC C10/UHS1 disk with Memory Card Adapter. great product and does with my tablet and Netbooks and Laptops.The speed of the data is good as well. I would say please get this item, and the price is good as well.",04/21/2023,709,11,43,54,-32,0.4435186694145543,2.0023236325758513
9,Bruce,2,This card is extremely fast. In order to leverage its full capability your card reader and device must support UHS-I. However it is also very fast with class 10 devices.,05/25/2023,988,19,6,25,13,1.5670640549002257,2.965791476564921
10,A. Bell,3,"A ton of storage, fast transfer speeds, not much more to say. I used this on a Samsung vibrant and Nexus 4",02/08/2023,712,22,36,58,-14,1.777749464020183,3.044258685487053
11,The J Train,1,64 GB additional memory for a great low price.  SanDisk provides exceptional quality at an affordable price.  Easy to install.,01/23/2023,666,21,25,46,-4,2.1136016136157703,1.1933073914635433
12,H. Braley,3,"When i first got this item, I had some problems with it and for some reason, caused all my data on my android phone to get deleted forcing me to reinstall my custom ROM and use my previous SD card until amazon replaced this one. But once I got the replacement, it worked perfectly. I have no issues with it at all now and for the past several months, its able to hold all my apps and data with ease. With the high read/write speeds, I don't have any lag and it just works exactly how I hoped it would.",03/02/2023,384,31,27,58,4,4.934100257821242,0.422393233079828
13,Brian Ginett,5,I use this with a 1080p video camera and it performs very well.  It doesn't have any issue keeping up and the transfer rates when interfacing with a computer are high.,11/02/2023,582,6,3,9,3,1.5533135703410084,3.722188445170817
14,Gotinoto,4,We ordered two of these for our Samsung Galaxy S3 phones. They work perfectly!  Exactly what we wanted and needed:),02/26/2023,160,21,48,69,-27,2.593412264827168,2.6428534637321417
15,Omar,5,"Shop around, and you will be surprised how good of a deal this is.Combine it with something else to get free shipping, and it's a low cost winner.Technically speaking it works great, especially for a Go Pro Camera which will benefit greatly from the enhanced storagecapacity.Put it in a digital camera, and you won't need to worry about running out of space.Just bought my second one, that's how much I like/recommend it",11/23/2023,432,43,31,74,12,2.680356619355009,2.2105067481849816
16,Gatorfan66,4,"I use this with my Contour ROAM on the race track, hasn't failed me yet. I would buy this again.",10/26/2023,864,1,37,38,-36,3.8539896930368327,0.6479773440227127
17,Buyer,1,the micro sd works great as described. but beware that the micro sd adapters are faulty. the micro sd will get stuck in the adapter. you will have to carefully rip apart the adapter to get the micro sd out thus damaging the apapter.,07/06/2023,396,13,45,58,-32,2.5893449704290394,2.0733187547344114
18,"Sergio Mejia Gtz ""Checolin""",1,"Well i got it for my go pro hero 3. the hero 3 takes this instead of regular sd cards, it seems to be working fine and its the same type that go pro sells of of their site for the hero 3.",03/26/2023,966,15,8,23,7,3.028687003102553,4.090877083102747
19,"Javier Fonseca ""Javier Fonseca""",1,the card arrived promptly in good condition. i don't use exfat so i reformatted it to ntfs but fyi some for example cameras only recognize fat32 so keep that in mind. i have used this for a few months now and have had absolutely no issues. a great value imho.,11/04/2023,973,23,35,58,-12,3.766640253804558,2.907178147322772
20,J. Parnell,2,Have in a USB 3.0 slot on my Iconia W700 docking station. Does what it is supposed to do. What more can you expect?,01/16/2023,615,6,25,31,-19,0.5056600233997266,0.4548775636795721
21,"M. A. Watson ""mozambrooklyn""",2,"Haven't had a chance to completely fill up the stick, but so far so good. I've taken my gopro with this in -10 below weather launching off jumps and occasionally take a beating.",12/10/2023,488,3,10,13,-7,4.817360617624847,1.6613756656367973
22,jtrev,4,"I bought this for my Galaxy S4 to expand the memory capacity a bit more. It works as it is intended to do, fast transfer rate, no problems so far.",06/27/2023,748,36,19,55,17,4.23152088039724,4.899010129567932
23,"Biker Dude 2000 ""Biker""",3,This is a big card for a great price.  I remember buying a 2GB CF card for around $200 a while ago!,01/04/2023,189,45,47,92,-2,1.9438630681155349,2.7225373570103644
24,"S. C. Shevchik ""Shelfly""",3,I needed a memory upgrade for my phone which is a Galaxy S3. The time I got it was on sale and  it has yet to fail me once. It stores a good amount of media for my device and can hold a number of 1080 movies and full resolution  pictures I have taken. Very handy for those long distance trips.,11/05/2023,418,40,47,87,-7,3.6420879453687167,1.431980397979512
25,Sujith Nair,4,"The description on the Amazon page calls this a class 10 card with UHS-1 performance.  And while technically correct, (Full HD 1080p recording). You would expect more performance in the Sequential Write speeds.  It actually doesn't even hit the class 10 speed unless you round up (9.951 MB/s).  I have 2 of these cards and they both report the same speed.  My Kingston 8GB SDHC Class 4 writes at 11.854 MB/s.  Now keep in mind the Sandisk beats the other cards in the random reads and writes.  So maybe the design for those faster random reads and writes causes the sequential writes to run slower than expected.  Here is the test for the San Disk followed by the Kingston-----------------------------------------------------------------------CrystalDiskMark 3.0.2 (C) 2007-2013 hiyohiyoCrystal Dew World : [...]-----------------------------------------------------------------------Sandisk Ultra 16GB Class 10 Micro SDHC (UHS I Speed?)* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read :  20.651 MB/sSequential Write :  9.951 MB/sRandom Read 512KB :  20.191 MB/sRandom Write 512KB :  2.628 MB/sRandom Read 4KB (QD=1) :  3.656 MB/s [  892.5 IOPS]Random Write 4KB (QD=1) :  1.665 MB/s [  406.4 IOPS]Random Read 4KB (QD=32) :  3.293 MB/s [  803.9 IOPS]Random Write 4KB (QD=32) :  1.618 MB/s [  395.0 IOPS]Test : 1000 MB [F: 0.0% (0.0/14.8 GB)] (x1)Date : 2013/03/26 21:28:09OS : Windows 7 Home Premium Edition SP1 [6.1 Build 7601] (x64)=======================================================================-----------------------------------------------------------------------CrystalDiskMark 3.0.2 x64 (C) 2007-2013 hiyohiyoCrystal Dew World : [...]-----------------------------------------------------------------------Kingston 8GB SDHC Class 4* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read :  20.287 MB/sSequential Write :  11.854 MB/sRandom Read 512KB :  19.925 MB/sRandom Write 512KB :  1.728 MB/sRandom Read 4KB (QD=1) :  3.747 MB/s [  914.7 IOPS]Random Write 4KB (QD=1) :  0.017 MB/s [  4.2 IOPS]Random Read 4KB (QD=32) :  3.684 MB/s [  899.5 IOPS]Random Write 4KB (QD=32) :  0.017 MB/s [  4.3 IOPS]Test : 1000 MB [F: 53.3% (4047.8/7592.0 MB)] (x1)Date : 2013/03/27 10:48:56OS : Windows 7 Home Premium Edition SP1 [6.1 Build 7601] (x64)",09/20/2023,343,4,47,51,-43,3.8116255220437334,4.567223731009602
